"X","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price","Car_Age","Brand","Kilometers_Per_Year","Is_First_Owner","Fuel_Type_Diesel","Fuel_Type_Electric","Fuel_Type_Petrol","Transmission_Automatic","Transmission_Manual","Brand_Ambassador","Brand_Audi","Brand_Bentley","Brand_BMW","Brand_Chevrolet","Brand_Datsun","Brand_Fiat","Brand_Force","Brand_Ford","Brand_Honda","Brand_Hyundai","Brand_Isuzu","Brand_ISUZU","Brand_Jaguar","Brand_Jeep","Brand_Lamborghini","Brand_Land","Brand_Mahindra","Brand_Maruti","Brand_Mercedes-Benz","Brand_Mini","Brand_Mitsubishi","Brand_Nissan","Brand_Porsche","Brand_Renault","Brand_Skoda","Brand_Tata","Brand_Toyota","Brand_Volkswagen","Brand_Volvo","Location_Ahmedabad","Location_Bangalore","Location_Chennai","Location_Coimbatore","Location_Delhi","Location_Hyderabad","Location_Jaipur","Location_Kochi","Location_Kolkata","Location_Mumbai","Location_Pune"
1,"Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"Diesel","Manual","First",19.67,1582,126.2,5,12.5,12.5,10,"Hyundai",3727,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,"Honda Jazz V","Chennai",2011,46000,"Petrol","Manual","First",20.8,1199,88.7,5,8.61,4.5,14,"Honda",3067,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,"Maruti Ertiga VDI","Chennai",2012,87000,"Diesel","Manual","First",20.77,1248,88.76,7,11.215,6,13,"Maruti",6214,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,"Audi A4 New 2.0 TDI Multitronic","Coimbatore",2013,40670,"Diesel","Automatic","Second",15.2,1968,140.8,5,17.74,17.74,12,"Audi",3128,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,"Nissan Micra Diesel XV","Jaipur",2013,86999,"Diesel","Manual","First",23.08,1461,63.1,5,11.665,3.5,12,"Nissan",6692,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,"Toyota Innova Crysta 2.8 GX AT 8S","Mumbai",2016,36000,"Diesel","Automatic","First",11.36,2755,171.5,8,21,17.5,9,"Toyota",3600,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,"Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"Diesel","Manual","First",20.54,1598,103.6,5,11.665,5.2,12,"Volkswagen",4956,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9,"Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Diesel","Manual","Second",22.3,1248,74,5,11.665,1.95,13,"Tata",4709,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,"Maruti Ciaz Zeta","Kochi",2018,25692,"Petrol","Manual","First",21.56,1462,103.25,5,10.65,9.95,7,"Maruti",3212,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,"Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"Petrol","Automatic","First",16.8,1497,116.3,5,11.665,4.49,13,"Honda",4286,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
